slug,title,language,category,status,deep,network,hosts,platforms,added_date,updated_date,tags,path
american-alchemy,American Alchemy,en,ai,todo,False,Jesse Michels 独立出品,Jesse Michels（科技 / 历史 / 神秘学交叉内容创作者）,Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-04,AI / 历史 / 神秘学 / 长访谈,podcasts/en/ai/american-alchemy.md
data-skeptic,Data Skeptic,en,ai,active,True,独立,Kyle Polich / Linh Da Pham,Apple Podcasts / Spotify / YouTube / RSS / dataskeptic.com,2026-08-04,2026-08-04,data science / machine learning / AI / statistics / beginner-friendly / miniseries,podcasts/en/ai/data-skeptic.md
dwarkesh-podcast,Dwarkesh Podcast,en,ai,active,True,独立出品（Dwarkesh Patel 个人主理，先 YouTube 后全平台）,Dwarkesh Patel（独立播客主理人）,YouTube（主阵地，订阅量百万级） / Apple Podcasts / Spotify / X / Twitter（长 clip 矩阵）,2026-08-04,2026-08-04,AI / AGI / 长访谈 / frontier-research / alignment / philosophy / history / 思想史,podcasts/en/ai/dwarkesh-podcast.md
eye-on-ai,Eye on AI,en,ai,active,True,独立,Jack Lindsay,Apple Podcasts / Spotify / YouTube / RSS,2026-08-04,2026-08-04,AI / long-form interview / AI research / AI policy / weekly,podcasts/en/ai/eye-on-ai.md
gradient-dissent,Gradient Dissent — Stories from the AI Engineering trenches,en,ai,active,True,Weights & Biases 出品（公司播客）,Lukas Biewald — Weights & Biases 联合创始人兼 CEO / 其他 W&B 团队成员(轮换主持),Apple Podcasts / Spotify / YouTube / Google Podcasts,2026-08-04,2026-08-04,AI / MLOps / ML-engineering / model-training / Weights-Biases / experiment-tracking / production-ML,podcasts/en/ai/gradient-dissent.md
hard-fork,Hard Fork,en,ai,active,True,The New York Times,Kevin Roose / Casey Newton,Apple Podcasts / Spotify / YouTube / NYT Audio app,2026-08-04,2026-08-04,AI / tech news / business / NYT / weekly recap,podcasts/en/ai/hard-fork.md
high-agency,High Agency,en,ai,active,True,TODO（独立出品 / 个人 IP 化运营）,"TODO（年轻 AI 创业者社群向主播,具体身份待核）",Apple Podcasts / Spotify / YouTube / X / Twitter,2026-08-04,2026-08-04,AI / startup / 个人IP / AI-builder / 短访谈 / growth,podcasts/en/ai/high-agency.md
in-machines-we-trust,In Machines We Trust,en,ai,active,True,MIT Technology Review,"Jennifer Strong(主持人) / Anthony Green(制片人,后期) / Emma Cillekens(制片人)",Apple Podcasts / Spotify / Google Podcasts / Stitcher / TuneIn / MIT Technology Review 网站,2026-08-05,2026-08-05,AI / AI policy / AI ethics / automation / MIT Technology Review / AI in daily life,podcasts/en/ai/in-machines-we-trust.md
last-week-in-ai,Last Week in AI,en,ai,active,True,Skynet Today（AI 研究/科普媒体）,Andrey Kurenkov — Skynet Today 联合创始人，独立 AI 研究员/科普作者（斯坦福大学 Symbolic Systems 系） / Daniel Whitenack（早期客座/共同主持）,YouTube / Apple Podcasts / Spotify / Google Podcasts / 小宇宙（被中文 AI 圈搬运）,2026-08-04,2026-08-04,AI / AI-news / weekly-roundup / LLM / research / AI-policy / AI-business,podcasts/en/ai/last-week-in-ai.md
latent-space,Latent Space,en,ai,active,True,"Latent Space (独立出品,定位 AI Engineer 媒体)","swyx (Shawn Wang) — AI engineer / writer / community builder / Alessio Fanelli — Investor at Decibel Partners, engineer",Apple Podcasts / Spotify / YouTube / latent.space(官网 + 文字稿 + 配套 newsletter),2026-08-04,2026-08-04,AI / AI-engineering / LLM / research / builders / developer-tools / newsletter / community,podcasts/en/ai/latent-space.md
lex-fridman-podcast,Lex Fridman Podcast,en,ai,active,True,独立,Lex Fridman,YouTube / Apple Podcasts / Spotify / X(原 Twitter),2026-08-04,2026-08-04,AI / long-form interview / AGI / AI research / tech leadership,podcasts/en/ai/lex-fridman-podcast.md
me-myself-and-ai,"Me, Myself, and AI",en,ai,active,True,MIT Sloan Management Review + Boston Consulting Group (BCG),Sam Ransbotham / Shervin Khodabandeh,Apple Podcasts / Spotify / YouTube / MIT SMR 网站 / RSS,2026-08-04,2026-08-04,AI / business / AI adoption / leadership / MIT Sloan / BCG,podcasts/en/ai/me-myself-and-ai.md
no-priors,No Priors,en,ai,active,True,Conviction（Sarah Guo 旗下风投） × Elad Gil 独立基金,Sarah Guo — Conviction 创始人（前 Greylock Partners 合伙人，10 年） / Elad Gil — 连续创业者、Twitter 前企业战略 VP、Color Health 创始人、《High Growth Handbook》作者,YouTube（视频主阵地） / Apple Podcasts / Spotify / Conviction 官网,2026-08-04,2026-08-04,AI / AI-investing / startup / founders / frontier-tech / AI-3.0 / 硅谷 / 投资人,podcasts/en/ai/no-priors.md
possible,Possible,en,ai,active,True,Reid Hoffman 独立出品,"Reid Hoffman(LinkedIn 联合创始人,Greylock 合伙人)",Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-11,AI / 未来 / 深度访谈 / Reid Hoffman / co-pilot 主持,podcasts/en/ai/possible.md
practical-ai,Practical AI,en,ai,active,True,Changelog（The Changelog 旗下，以开发者 Podcast 著称的独立播客网络）,Daniel Whitenack（Data Dan）— 数据科学家、Prediction Guard 创始人；曾服务两家 startup 和 4000+ 员工的国际 NGO；Purdue University 客座讲师 / Chris Benson — AI/ML/DL 实践者，长期与 Adobe、Honeywell 等企业合作；曾任 AI 伦理委员会成员,Apple Podcasts / Spotify / YouTube / Changelog 官网（show notes 极详尽） / RSS,2026-08-04,2026-08-04,AI / machine-learning / MLOps / data-science / LLMs / developer / production / ethics,podcasts/en/ai/practical-ai.md
robot-brains-podcast,Robot Brains Podcast,en,ai,active,True,独立,"Pieter Abbeel(主持人,UC Berkeley 教授 / BAIR 联合主任 / Berkeley Robot Learning Lab 主任 / 前 Covariant 创始人 / 总裁 / 首席科学家)",Apple Podcasts / Spotify / YouTube / RSS,2026-08-05,2026-08-05,AI / robotics / embodied AI / deep reinforcement learning / robot foundation models / AI research,podcasts/en/ai/robot-brains-podcast.md
ai-daily-brief,The AI Daily Brief (Nathaniel Whittemore),en,ai,active,True,独立出品（个人 IP 化运营，2022-2023 创办）,Nathaniel Whittemore — AI 行业内容创作者 / 媒体人,Apple Podcasts / Spotify / YouTube / 官网 / Substack,2026-08-04,2026-08-04,AI / news-brief / daily / LLM / industry-news,podcasts/en/ai/ai-daily-brief.md
the-ai-podcast-nvidia,The AI Podcast (NVIDIA),en,ai,active,True,NVIDIA（AI 芯片与计算平台巨头）,Noah Kravitz — NVIDIA 资深内容与品牌团队，技术记者出身，长期主持 NVIDIA 官方播客（2017- ）,Apple Podcasts / Spotify / NVIDIA 官网 / SoundCloud / YouTube,2026-08-04,2026-08-04,AI / NVIDIA / GPU / enterprise-AI / AI-infrastructure / AI-applied / corporate-podcast,podcasts/en/ai/the-ai-podcast-nvidia.md
the-cognitive-revolution,The Cognitive Revolution,en,ai,active,True,独立出品（Waymark 联合创始人 Nathan Labenz 创办）,Nathan Labenz — Waymark 联合创始人（AI 驱动视频创作工具公司）；前 Cognitive Computation / health tech 创业者；X 平台活跃 AI 观察者,YouTube（视频主阵地，含完整 transcript） / Apple Podcasts / Spotify / RSS / cognitiverevolution.ai 官网（newsletter + episodes）,2026-08-04,2026-08-04,AI / AI-safety / frontier-models / agents / AI-policy / AI-business / 长访谈 / scout-reports,podcasts/en/ai/the-cognitive-revolution.md
twiml-ai-podcast,The TWIML AI Podcast (formerly This Week in Machine Learning & AI),en,ai,active,True,TWIML（Sam Charrington 创立的独立 AI 媒体，旗下有 TWIML Events 线下大会、The AI Platforms 平台）,Sam Charrington — TWIML 创始人，分析师/前科技公司产品经理，长期关注 ML/AI 平台与企业落地,Apple Podcasts / Spotify / YouTube / Google Podcasts / Podcast Addict / RSS / twimlai.com 官网（show notes 极详尽）,2026-08-04,2026-08-04,AI / machine-learning / MLOps / data-science / research / enterprise-AI / longform / 长寿,podcasts/en/ai/twiml-ai-podcast.md
b2b-growth,B2B Growth,en,business,active,True,Sweet Fish Media(3x Inc. 5000 获奖的 B2B 播客 / 视频代理公司),轮值主持(Sweet Fish 团队;James Carbary 任执行制作人),Apple Podcasts / Spotify,2026-08-03,2026-09-05,b2b / marketing / saas / demand-generation / content-marketing,podcasts/en/business/b2b-growth.md
bg2-pod,BG2 Pod,en,business,active,True,Brad Gerstner & Bill Gurley 独立出品,Brad Gerstner(Altimeter Capital 创始人 / CIO) / Bill Gurley(Benchmark 普通合伙人),Apple Podcasts / Spotify / YouTube / iHeart,2026-09-04,2026-09-11,风险投资 / 公开市场 / 科技 / AI / 硅谷顶层对话,podcasts/en/business/bg2-pod.md
founder-s-journal,Founder's Journal,en,business,active,True,Morning Brew(2020 年被 Business Insider 收购多数股权),Alex Lieberman — Morning Brew 联合创始人(前 CEO / 执行董事长),Apple Podcasts / Spotify / 官网 foundersjournalpod.morningbrew.com,2026-08-03,2026-09-05,entrepreneurship / founders / startups / morning-brew / solo-show,podcasts/en/business/founder-s-journal.md
how-i-built-this,How I Built This with Guy Raz,en,business,active,True,NPR / Wondery (Amazon),"Guy Raz (NPR correspondent, host of TED Radio Hour, founder of Built In Public)",Apple Podcasts / Spotify / YouTube / NPR One / Wondery+ (premium ad-free),2026-08-03,2026-08-05,founders / company-history / entrepreneurship / narrative / npr / wondery / guy-raz,podcasts/en/business/how-i-built-this.md
indie-hackers,Indie Hackers,en,business,active,True,"Indie Hackers (acquired by Stripe, 2017); hosted & produced via Transistor.fm","Courtland Allen (founder, originally from Stripe; co-host) / Channing Allen (Courtland's sister, co-host from 2020)",Apple Podcasts / Spotify / Pocket Casts / Overcast / Transistor.fm (hosting),2026-08-03,2026-08-05,bootstrapping / indie / founders / saas / lifestyle-business / community / stripe / transistor,podcasts/en/business/indie-hackers.md
masters-of-scale,Masters of Scale with Reid Hoffman,en,business,active,True,WaitWhat (originally with LinkedIn; later Spotify exclusive window),"Reid Hoffman (LinkedIn co-founder, Greylock partner)",Apple Podcasts / Spotify / YouTube / MasterClass / WaitWhat,2026-08-03,2026-08-05,founders / vc / scaling / leadership / blitzscaling / network-effects / waitwhat / linkedin,podcasts/en/business/masters-of-scale.md
money-stuff,Money Stuff: The Podcast,en,business,active,True,Bloomberg,"Matt Levine(Bloomberg Opinion 金融专栏作家,《Money Stuff》原版主笔) / Katie Greifeld(Bloomberg 主持)",Apple Podcasts / Spotify / Bloomberg 官网,2026-09-04,2026-09-11,金融 / 市场 / 专栏 / Matt Levine / 幽默金融,podcasts/en/business/money-stuff.md
saastr-podcast,SaaStr Podcast,en,business,active,True,"SaaStr, Inc. (Jason Lemkin) — Annual Conference + Podcast + YouTube ecosystem","Jason Lemkin (founder & CEO of SaaStr; primary host) / Rotating guest hosts (CMOs, CROs, VCs, AI founders) — varies per session",Apple Podcasts / Spotify / YouTube (primary long-form archive) / SaaStr.com (transcripts + show notes),2026-08-03,2026-08-05,saas / b2b / founders / sales / gtm / ai / conference / jason-lemkin,podcasts/en/business/saastr-podcast.md
tbpn,TBPN,en,business,active,True,OpenAI(2026-04 收购;此前独立创办运营),"John Coogan — 联合创始人 / 主播,科技创业者 / YouTube 创作者 / Jordi Hays — 联合创始人 / 主播",X / Twitter(直播) / YouTube(直播 + 回放) / Apple Podcasts / Spotify,2026-08-05,2026-09-04,tech / business / live-streaming / AI / media / OpenAI / venture,podcasts/en/business/tbpn.md
the-knowledge-project,The Knowledge Project,en,business,active,True,Farnam Street,"Shane Parrish(Farnam Street 创始人,前加拿大情报分析师)",Apple Podcasts / Spotify / YouTube / Farnam Street 博客,2026-09-04,2026-09-11,决策 / 思维模型 / 深度访谈 / Farnam Street,podcasts/en/business/the-knowledge-project.md
the-prof-g-pod,The Prof G Pod with Scott Galloway,en,business,active,True,Vox Media Podcast Network × Prof G Media,"Scott Galloway — NYU Stern 教授 / 畅销书作者 / 连续创业者(单人主理,板块轮换)",Apple Podcasts / Spotify / YouTube / profgmedia.com(Substack 付费层),2026-08-05,2026-09-04,business / tech / markets / strategy / career / education,podcasts/en/business/the-prof-g-pod.md
20vc,The Twenty Minute VC (20VC),en,business,active,True,20VC Ltd.(Harry Stebbings 旗下),"Harry Stebbings(20VC 创始人,前 VC 投资人)",Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-11,风险投资 / 创业 / 20 分钟短访谈 / 投资人播客,podcasts/en/business/20vc.md
a16z-podcast,a16z Podcast,en,business,active,True,Andreessen Horowitz (a16z) — owned and produced by the firm,"Sonal Chokshi (Editor in Chief, host across most feeds since ~2018) / Rotating a16z general partners and editorial staff (Marc Andreessen, Ben Horowitz, Andrew Chen, Jeff Jordan, Connie Chan, David George, Vijay Pande, Chris Dixon, etc.)",Apple Podcasts / Spotify / YouTube / a16z.com (transcripts + show notes) / Substack-style email digests,2026-08-03,2026-08-05,vc / tech / crypto / ai / bio / growth / andreessen-horowitz / a16z,podcasts/en/business/a16z-podcast.md
comedy-bang-bang,Comedy Bang! Bang!,en,comedy,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/comedy/comedy-bang-bang.md
conan-obrien-needs-a-friend,Conan O'Brien Needs A Friend,en,comedy,active,True,Team Coco / SiriusXM,Conan O'Brien,Apple Podcasts / Spotify / YouTube / SiriusXM,2026-08-03,2026-08-03,comedy / celebrity-interview / entertainment / late-night,podcasts/en/comedy/conan-obrien-needs-a-friend.md
doughboys,Doughboys,en,comedy,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/comedy/doughboys.md
good-hang-with-amy-poehler,Good Hang with Amy Poehler,en,comedy,todo,False,The Ringer,"Amy Poehler（演员,《Parks and Recreation》女主,SNL 老牌卡司）",Apple Podcasts / Spotify / YouTube,2026-09-04,2026-09-04,喜剧 / 访谈 / 名人,podcasts/en/comedy/good-hang-with-amy-poehler.md
how-did-this-get-played,How Did This Get Played?,en,comedy,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/comedy/how-did-this-get-played.md
my-brother-my-brother-and-me,"My Brother, My Brother and Me",en,comedy,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/comedy/my-brother-my-brother-and-me.md
office-ladies,Office Ladies,en,comedy,todo,False,,,,2026-08-03,2026-08-03,待收录,podcasts/en/comedy/office-ladies.md
smartless,SmartLess,en,comedy,active,True,Wondery / Amazon (earlier independent),Jason Bateman / Sean Hayes / Will Arnett,Apple Podcasts / Spotify / YouTube / Amazon Music / Wondery+,2026-08-03,2026-08-05,comedy / celebrity-interview / entertainment / hollywood,podcasts/en/comedy/smartless.md
the-bill-simmons-podcast,The Bill Simmons Podcast,en,comedy,active,True,Spotify (audio) / Netflix (video) / Bill Simmons Media Group,Bill Simmons,Spotify / Apple Podcasts / YouTube / Netflix / The Ringer,2026-08-03,2026-08-05,sports / pop-culture / longform-interview / nba / media,podcasts/en/comedy/the-bill-simmons-podcast.md
